Input,Objective,Runtime,TSP
PenaltyMin: 10,,,
1,4200,11.710518,10649.49
2,4200,5.725002,8692.7
3,4200,13.528004,8669
4,3358.765,15.497709,9048.83
5,4141.335,5.313026,12346.31
AVERAGE,4020.02,10.3548518,9881.266
PenaltyMin: 15,,,
1,6300,12.663673,10649.49
2,6300,7.676001,8692.7
3,6292.169991,13.908998,8669
4,4258.765,15.462788,9048.83
5,5641.335,4.327002,12346.31
AVERAGE,5758.453998,10.8076924,9881.266
PenaltyMin: 20,,,
1,7023.16,13.538,10649.49
2,7573.685,9.112995,8692.7
3,6292.17,14.822651,8669
4,5158.765,13.429003,9048.83
5,7141.335,6.450998,12346.31
AVERAGE,6637.823,11.4707294,9881.266
PenaltyMin: 25,,,
1,7023.16,16.648029,10649.49
2,8286.569999,8.465714,8692.7
3,6292.17,14.061998,8669
4,6058.765,15.659,9048.83
5,8586.53,5.311548,12346.31
AVERAGE,7249.439,12.0292578,9881.266
PenaltyMin: 30,,,
1,7023.159999,13.504919,10649.49
2,8286.57,8.336592,8692.7
3,6292.169999,13.569372,8669
4,6958.765,18.191517,9048.83
5,9186.53,4.179512,12346.31
AVERAGE,7549.439,11.5563824,9881.266
PenaltyMin: 35,,,
1,7023.159999,14.097694,10649.49
2,8286.57,7.006037,8692.7
3,6292.17,12.606003,8669
4,7858.765,15.681999,9048.83
5,9786.53,5.118475,12346.31
AVERAGE,7849.439,10.9020416,9881.266
PenaltyMin: 40,,,
1,7023.16,13.16,10649.49
2,8286.57,7.818039,8692.7
3,6292.17,14.065998,8669
4,8511.499999,14.658281,9048.83
5,10386.53,6.356998,12346.31
AVERAGE,8099.986,11.2118632,9881.266
